,hebrewFromSub,englishFromSub,englishTranslation,ratio
103,אתה תצא בתור ארנק ואתה תצא בתור חגורה  וידידנו היקר פרנק  ,You'll go as a wallet you'll go as a belt  and our dear Frank--,You'll come out as a wallet and you'll come out as a belt and our dear friend Frank,77
104,-אני לא רוצה לשמוע !,- No no no! I don't want to hear it!,- I do not want to hear!,79
105,-פרנק יצא בתור   אני לא שומע אותך!,- Frank will go as-- I can't hear you! La la Mathilda waltzing--,-Frank came out in line I can not hear you!,61
106,-ארנק ,- A purse ,-Purse,83
107,-אוי לא !,- Oh no!,-Oh no !,100
108,אני לא רוצה לצאת בתור ארנק!,I don't want to go as a purse!,I do not want to go out as a wallet!,72
109,בבקשה בבקשה אל תתן לו לעשות לי את זה ,Please please don't let him do it ,Please please do not let him do this to me,80
110,-אל תדאג ,- Don't worry ,-Do not worry,87
111,אנחנו נצא מכאן ,We're gonna get out of here ,We'll get out of here,75
112,כן אם כולנו נתרכז נצליח לחשוב על משהו ,Yeah If we all put our heads together I'm sure we'll think of something ,"Yes, if we all concentrate, we can think of something",61
113,-כן משהו משהו ,- Yeah something something something ,-Yes something something,77
114,קח את זה בקלות חבר ,Take it easy mate ,Take it easy mate,100
115,אתה לא רוצה להזיק לעצמך עוד פעם ,You don't want to hurt yourself again ,You do not want to hurt yourself again,96
116,-כל מה שאנחנו צריכים לעשות זה להשיג את המפתחות ,- All we gotta do is get the keys!,-All we need to do is get the keys,78
117,-כן זה הכל ,- Oh is that all ,"- Yes, that's all",71
118,אם כך כדאי שנתחיל לארוז תיקים ,Well then we'd better start packing our bags ,Then we should start packing bags,68
119,רגע הוא צודק!,But wait! He's right!,Wait a minute he's right!,74
120,אם נצליח להגיע לחתיכת העץ הזו עץ!,If we could get these long pieces of wood-- Wood!,If we can get to this piece of wood wood!,79
121,יופי יופי ,Good! Good!,good good,100
122,קדימה כולם תשיגו עוד חפצים!,Come on everybody Get some more stuff!,Come on everyone get more items!,68
123,הילד צודק ,The kid's right ,The boy is right,71
124,למה אנחנו מחכים ,What are we waiting for ,What are we waiting for,100
125,זהו זה!,That's it!,that's it!,100
126,יש לנו את זה!,- We did it!,We have it!,63
127,אנחנו צריכים משהו כדי לקשור הכל ביחד ,We need something to tie it together ,We need something to tie it all together,95
128,כמעט ,Almost ,almost,100
129,-כן כן כן כן כן ,- Yeah yeah yeah Yeah yeah ,-Yes yes yes yes yes,65
130,-זה בסדר ננסה שוב ,- It's okay Let's try again - Yeah yeah ,- It's okay. We'll try again,77
131,-כן כן כן כן כן ,- Yeah yeah yeah Yeah yeah ,-Yes yes yes yes yes,65
132,לא לא לא לא כן כן כן כן לא ,No no no no-- Yeah yeah yeah yeah no--,No no no no yes yes yes yes no,81
133,-כן כן כן !,- Yeah yeah yeah!,-Yes Yes Yes !,64
134,-עשינו את זה !,- We did it!,-We did it !,100
135,-יש לך את זה!,You've got it!,-you've got it!,100
136,יש לך את זה !,You've got it!,you've got it !,100
137,אני אקח את הזנב שלי  ואשחק עם המנעול ככה  פרנק תעזוב ,I got it! I'll just take my tail  and I'll pick the lock like this! Aw Frank give it a rest ,I'll take my tail and play with the lock so Frank will leave,62
138,לא לא לא אתה תודה לי כשתהיה חופשי ,No no no You'll thank me when you're free Look look oh ,No no no you thank me when you're free,83
139,אני מכניס את הזנב שלי ככה אני מסובב אותו ככה  רק רבע סיבוב לשמאל אז אני דוחף אותו קצת יותר ,I just insert my tail like this and I turn it like this  just a quarter turn to the left and then I push it a little bit further ,I put my tail in like this I turn it like this only a quarter turn to the left so I push it a little more,76
140,מושך קצת אחורה דוחף טיפה קדימה ,And then you pull a little bit back And then you push a little bit forward ,Pulls back a little and pushes a drop forward,66
141,תראה להם מי הבוס ברנו!,Show him who's boss Berno!,Show them who the Brno boss is!,62
142,אני מרגיש כאילו הכניסו את הראש שלי בתוך מלקחיים ,I feel like I got my head in a vice ,I feel like I put my head in forceps,76
143,-את מוכנה אחות ,- Are we ready nurse ,"- You're ready, nurse",67
144,-מוכנה דוקטור ,- Ready doctor ,-Prepare Doctor,77
145,בסדר גבירותי בואו נזדרז ,All right ladies snap to it!,"All right ladies, let's hurry up",69
146,טוב בוא נראה כאן ,Oh let me see here ,Well let's see here,70
147,-מלקחיים !,- Forceps!,- Forceps!,100
148,-מלקחיים !,- Forceps!,- Forceps!,100
149,אוי לא ,Oh no ,Oh no,100
150,מה עכשיו ,What now ,What now,100
151,-מנתב העורקים ,- Artery router ,-Revicular artery,69
152,תביאו לי את מפצל הרקמות ,Bring me the epidermal tissue disrupter!,Bring me the tissue splitter,69
153,את מפצל ה-מה ,The epidermal what ,The splitter of the what,62
154,אוי לא ,Oh no ,Oh no,100
155,לא!,No!,No!,100
156,לא!,No!,No!,100
157,-אדון אלבטרוס עוד לא ניתחנו !,- Mr Albatross we haven't operated yet!,"- Mr. Albatross, we have not yet been operated on!",81
158,-אתה קודם תצטרך לתפוס אותי דוקטור !,- Ya gotta catch me first Doc!,- You'll have to catch me Doctor first!,70
159,אדון אלבטרוס בבקשה!,Mr Albatross please!,Mr. Albatross please!,100
160,קוואבנגה!,Cowabunga!,Kawabanga!,67
161,אדון אלבטרוס אנחנו חייבים להחזיר אותך לחדר הניתוח!,Mr Albatross we must return you to the operating room!,"Mr. Albatross, we must get you back to the operating room!",85
162,לעולם לא תתפוס אותי חי!,You'll never take me alive!,You will never catch me alive!,73
163,בבקשה אל תעשה את זה!,Please don't do this!,Please do not do that!,78
164,עמוד-השידרה שלך צריך  טיפול עדין ואוהב!,Your spine needs tender  Ioving care!,Your spine needs gentle and loving care!,73
165,הגב שלי!,My back!,My back!,100
166,נרפאתי!,I want the eagle ,I was healed!,64
167,הגב שלי!,My back!,My back!,100
168,אל דאגה אני מגיע עכברים קטנים!,Don't worry! I'm comin' you little mice!,Don't worry I'm getting little mice!,78
169,אני חייב להתחיל בדיאטה כשאגיע הביתה ,Oh boy! I gotta- - I gotta go on a diet when I get home ,I have to start a diet when I get home,65
170,זהו זה!,That's gonna hurt!,that's it!,62
171,"""באזורים האלה   ",in these particular areas ,"""In these areas",72
172,"ולשאר החדשות  ""הרשויות הפסיקו את החיפושים אחר הילד הנעדר ",In other news  authorities in Mugwomp Flats have called offthe search for the missing boy ,"And for the rest of the news, the authorities have stopped searching for the missing child",63
173,"""תיק הגב שלו נמצא בסמוך למפלי הקרוקודילים ""והפקחים המקומיים מאמינים שהוא היה קורבן למתקפת קרוקודילים ",His backpack was found near Crocodile Falls  and local Rangers believe he was yet another victim of crocodile attack ,"""His backpack is near the crocodile waterfalls"" and local inspectors believe he was the victim of a crocodile attack",76
174,"""הרשויות הזהירו שוב את התושבים להיזהר במיוחד  """,Authorities once again warn residents to use extreme caution--,"""Authorities once again warned residents to be especially careful""",76
175,אתם חושבים שאתם חכמים ,Think you're pretty smart don't ya Huh ,You think you're smart,67
176,מי התחכם למי ,Who outsmarted who Who-,Who was smart for whom,73
177,מי התחכם למי ,Who outsmarted who Who-,Who was smart for whom,73
178,אני עדיין צריך לגרום לילד לדבר הא ,I still gotta get that boy to talkin' huh ,I still have to get the kid to talk ha,69
179,אני רעב לא יכול לחשוב על בטן ריקה ,I'm hungry Can't think on an empty stomach ,I'm hungry and can not think of an empty stomach,87
180,לכל אחד יש מחיר ,Everyone's got his price ,Everyone has a price,77
181,אציע לו מה שהוא רוצה ואז לא אתן לו את זה ,All I gotta do is offer him whatever he wants  and then not give it to him ,I will offer him what he wants and then I will not give it to him,80
182,את לקחת אחת מהביצים שלי ,Did you take one of my eggs ,You're taking one of my eggs,80
183,תפתחי את הפה שלך ,Open your mouth ,Open your mouth,100
184,אלו לא ביצים לג'ואנה!,These are not Joanna eggs!,These are not eggs for Joanna!,93
185,בוא נראה ,Let's see ,lets see,94
186,לילד יש את הנשר ,The boy's got the eagle ,The child has the eagle,70
187,אני רוצה את הנשר ,I want the eagle ,I want the eagle,100
188,הילד לא מוכן לתת לי את הנשר ,The boy won't give me the eagle ,The boy is not willing to give me the eagle,81
189,אם רק אוכל לגלות את נקודת החולשה שלו  אוכל לגרום לו לגלות לי היכן נמצא הנשר ,If I could just find the boy's weak spot  I could get him to tell me where the eagle is ,If only I could find out his weak point I could make him tell me where the eagle was,75
190,אבל לילד יש רק נקודת חולשה אחת והיא - הנשר ,But the boy's only got one weak spot and that is the eagle ,But the child has only one weak point and that is - the eagle,82
191,אולי אם אני אשים אותו בתל נמלים ענק  זה ירפה את לשונו ואז אני אתפוס אותו!,Maybe if I stuck him in a giant anthill  that would loosen his tongue and then I got him!,Maybe if I put it in a huge mound of ants it will loosen its tongue and then I'll catch it!,68
192,היד שלך נתפסה בצנצנת העוגיות ,Got your hand caught in the cookie jar didn't you ,Your hand was caught in the cookie jar,80
193,עם מי את חושבת שאת מתעסקת חיה טיפשה שכמוך ,Who do you thinkyou're messing with you dumb animal ,Who do you think you are dealing with a stupid animal like you,67
194,היכולות השכליות שלי הן פי שתיים משלך מוח אפונה!,My mental facilities are twice what yours are you pea brain!,My mental abilities are twice your own pea brain!,69
195,ג'ואנה אני נותן לך המון ביצים ,Joanna I give you platypus eggs ,Joanna I give you lots of eggs,85
196,אני נותן לך ביצי נחש ,I give you snake eggs ,I'm giving you snake eggs,87
197,ואני אפילו נותן לך ביצי נשר ,Why I'll even give you eagle eggs ,And I'm even giving you eagle eggs,78
198,ואני רוצה שתתרחקי מ  ביצי הנשר ,But I want you to stay away from my-- The eagle's eggs ,And I want you to stay away from eagle eggs,82
199,זהו זה!,That's it!,that's it!,100
200,זו נקודת החולשה של הילד!,That's the boy's weak spot!,This is the child's weak point!,61
201,קצת קדימה להחזיר קצת אחורה  ולסובב עוד פעם אחת ,And then you push a little bit farther and you take it back a little bit  and then you turn it once more around ,A little forward turn back a little and turn one more time,60
202,ואז להחזיר אחורה ואז ,And then you take it back and then you--,Then turn back and then,66
203,אני נכנע!,I give up!,I give up!,100
204,פרנק יצא!,Frank's out ,Frank is out!,78
205,-פרנק פרנק אתה חופשי !,- Frank Frank you're free!,-Frank Frank you are free!,85
206,-אני חופשי ,- I'm free ,-I am free,71
207,אני חופשי!,- I'm free ,I am free!,71
208,אני חופשי!,- I'm free ,I am free!,71
209,אני חופשי!,- I'm free ,I am free!,71
210,אני חופשי!,- I'm free ,I am free!,71
211,-ששש ,- Shh!,-Shhh,86
212,! ג'ואנה תשמע אותך !,Joanna will hear!,! Joanna will hear you!,89
213,-חופשי חופשי!,- Free free!,- Free Free!,100
214,חופשי חופשי חופשי חופשי!,Free free free free!,Free Free Free Free!,100
215,אני חופשי חופשי חופשי חופשי !,Free free free free!,I'm free free free free!,90
216,-חופשי חופשי חופשי חופשי חופשי !,- Free free free free free!,- Free Free Free Free Free!,100
217,מה אמרתי לכם ,What did I tell ya ,What did I tell you?,92
218,תראו אותי!,Look at me!,look at me!,100
219,אני חופשי!,- I'm free ,I am free!,71
220,-פרנק תביא את המפתחות ,The keys Frank!,- Frank will bring the keys,72
221,-כדאי שאני אקח את המפתחות!,- I- - I should get the keys!,- I should take the keys!,76
222,-אה אני תקוע!,I'm stuck!,- Oh I'm stuck!,86
223,אני תקוע!,I'm stuck!,I'm stuck!,100
224,אני תקוע !,I'm stuck!,I'm stuck !,100
225,-ששש  ,- Shh!,-Shhh,86
226,שקט !,- Be quiet ,Quiet !,77
227,- אני תקוע!,I'm stuck!,- I'm stuck!,100
228,תקוע !,I'm stuck!,Stuck!,71
229,-תרגע אני אעזור לך ,- Calm down little mate!,"- Calm down, I'll help you",64
230,עכשיו תביא את המפתחות ,Now go get the keys ,Now bring the keys,76
231,המפתחות!,The keys ,the keys!,100
232,המפתחות המפתחות  ,Give us the keys!,The keys The keys,67
233,-מהר! קח משהו לעמוד עליו ,- Quick get something to stand on ,-Faster! Take something to stand on,72
234,-כן משהו לעמוד עליו ,- Yeah stand on Somethin' to stand on ,-Yes something to stand on,78
235,כן כן!,Yeah yeah ,Yes Yes!,62
236,-פרנק !,Frank's out ,-Frank!,62
237,-תתפס על הקופסא ,Of course the box ,- Caught on the box,71
238,-כן כן ,Yeah yeah ,-Yes Yes,62
239,הקופסא ,The box ,The box,100
240,הקופסא,The box ,The box,100
241,-ששש  ,- Shh!,-Shhh,86
242,- תהיה בשקט ,- Be quiet ,- Be quiet,100
243,-הדברים המעצבנים האלה כבדים ,- But these darn things are heavy ,-These annoying things are heavy,74
244,אופס ,Oops ,Oops,100
245,אהה!,- Shh!,Ahh!,67
246,המפתחות פרנק!,The keys Frank!,The keys are Frank!,88
247,תן לנו את המפתחות!,Give us the keys!,Give us the keys!,100
248,תן לנו את המפתחות!,Give us the keys!,Give us the keys!,100
249,תרכב עליה פרנק! תן לי להיכנס! תן לי להיכנס!,Let me in! Let me in!,Ride her Frank! Let me in! Let me in!,72
250,אהה!,- Shh!,Ahh!,67
251,תן לי להיכנס!,Let me in!,Let me in!,100
252,תן לי להיכנס!,Let me in!,Let me in!,100
253,תן לי להיכנס!,Let me in!,Let me in!,100
254,תן לי להיכנס!,Let me in!,Let me in!,100
255,לא לא לא לא לא לא!,No no no no no no no!,no no no no no no!,92
256,לא!,No!,No!,100
257,לא!,No!,No!,100
258,לא!,No!,No!,100
259,לא!,No!,No!,100
260,לא!,No!,No!,100
261,פספסת!,Missed ,You missed it!,63
262,הפתעה!,Surprise!,a surprise!,89
263,אם לא הייתי יודע יותר טוב הייתי חושב שאתה לא נהנה כאן ,If I didn't know any better I'd thinkyou didn't like it here ,If I did not know better I would think you are not enjoying here,73
264,מה אתה עושה מחוץ לכלוב ,Ah what are you doing out of your cage ,What are you doing outside the cage,74
265,ככה יותר טוב ,Well that's better ,That's better,84
266,קדימה ילד ,Come on boy ,Come on boy,100
267,תגיד שלום לכל החברים הקטנים שלך ,Say goodbye to your little friends ,Say hello to all your little friends,80
268,אין לנו זמן לבזבז ,There is no time to waste ,We have no time to waste,69
269,אנחנו חייבים לנסות להיכנס ,We must try to get in ,We must try to get in,100
270,הנה גברת ביאנקה ,Here- - Here Miss Bianca ,Here's Mrs Bianca,79
271,תתחילו לחפור ,Start digging ,Start digging,100
272,היי זה עבד!,- Whoa! - Hey it worked!,Hey it worked!,84
273,תצא מכאן!,Get out of here! Go on! Git!,Get out of here!,75
274,-תראה ברנרד זה הילד !,- Look Bernard It's the boy!,"- Look, Bernard is the boy!",92
275,-'ומקליץ !,- And McLeach ,-'And click!,70
276,זה נגמר ילד ,It's all over boy ,It's over kid,60
277,הציפור שלך מתה ,Your bird's dead ,Your bird is dead,97
278,מישהו ירה בה ,Someone shot her ,Someone shot her,100
279,ירה בה בשמיים הפתוחים!,Shot her right out of the sky!,Shot her in the open sky!,72
280,-לא !,No!,-No !,100
281,-למה אתה מתכוון ,- What do you mean no ,-What do you mean,91
282,אתה קורא לי שקרן ,You callin' me a liar ,You call me a liar,95
283,שמעתי את זה ברדיו ,I heard it on the radio this morning ,I heard it on the radio,78
284,היא יכלה להיות שלי!,And she could have been mine if it weren't for you ,She could have been mine!,65
285,עכשיו כדאי שתסתלק מכאן לפני שאשנה את דעתי!,Now you better get out of here before I change my mind!,Now you better get out of here before I change my mind!,100
286,-למה הוא נותן לו ללכת ,- Why is he letting him go ,- Why is he letting him go,100
287,חבל על הביצים ההן נכון ג'ואנה ,Too bad about those eggs eh Joanna ,Too bad those eggs are right Joanna,78
288,הן לא ישרדו בלי אמא שלהן ,They'll never survive without their mother ,They would not survive without their mother,82
289,בינגו!,Bingo!,Bingo!,100
290,-ציפור ,- Bird ,-Bird,100
291,-ביצים ,- Eggs ,-Eggs,100
292,ששש!,Shhh!,Shhh!,100
293,תקשיבו ,Listen ,Listen,100
294,אני לא יודע לאן הוא הולך אבל אסור לתת לו להתרחק ,I don't know where he's going but we can't let him get away ,I do not know where he is going but he must not be allowed to move away,69
295,-תזדרזו שניכם !,- Hurry up you two!,"- Hurry up, you two!",100
296,-מהר ברנארד עכשיו !,- Quickly Bernard now!,- Hurry Bernard now!,61
297,אוי לא!,Oh no!,Oh no!,100
298,אוי לא!,Oh no!,Oh no!,100
299,קפצי!,Jump!,Jump!,100
300,ביאנקה! הנה תיפסו!,Here- - Here Miss Bianca ,Bianca! Here you go!,67
301,גברת ביאנקה את יכולה לעשות את זה ,M-M-Miss-- Miss Bianca y-you can do it!,"Mrs. Bianca, you can do this",74
302,לאן אתן הולכות ,Hey where are ya goin' ,Where are you going?,80
303,אני מחפש שני עכברים קטנים ,I'm looking for two little mice ,I'm looking for two little mice,100
304,זה בגלל משהו שאמרתי ,Is it something I said ,It's because of something I said,74
305,הוא ירד במורד הצוק קדימה ,He's goin' down the cliff ,He went down the cliff forward,70
306,-קודי ,- Cody ,-Codes,67
307,מי אתם ,Who are you ,who are you,100
308,אין זמן להסברים ,Oh there is no time to explain ,No time for explanations,63
309,אתה בסכנה גדולה ,You are in great danger ,You are in great danger,100
310,לא יכול להיות ,It can't be ,can not be,76
311,קודי!,- Cody ,Cody!,100
312,קודי חכה!,Cody wait!,Cody wait!,100
313,-היא בחיים !,- She's alive!,- She's alive!,100
314,-קודי בבקשה !,- Cody please!,-Code please!,91
315,-אתה חייב להקשיב !,- You must listen - That's ri-,- You must listen!,75
316,מקליץ' נמצא בראש הצוק !,Mc-McLeach is on the cliff ,Maklich is at the top of the cliff!,63
317,לא!,No!,No!,100
318,תסתובבי!,Turn back!,Turn around!,60
319,תסתובבי!,Turn back!,Turn around!,60
320,תתרחקי ,Stay away!,Stay away,100
321,זו מלכודת!,It's a trap!,This is a trap!,80
322,תפסתי אותה!,I got her!,I caught her!,76
323,תפסתי אותה!,I got her!,I caught her!,76
324,ראית את זה ,Did you see that ,did you see it,73
325,יריה מושלמת ,Perfect shot ,Perfect shot,100
326,יריה מושלמת!,Perfect shot ,Perfect shot!,100
327,היא שלי ,She's mine ,she's mine,100
328,לא!,No!,No!,100
329,-ביאנקה !,- Bianca!,-Bianca!,100
